"";"lm1";"l0";"l1";"a";"l_stop"
"130";-5845,00388268637;-5844,99379714223;-5844,98419065004;0,952501129228251;-5844,79155039344
"131";-5844,99379714223;-5844,98419065004;-5844,97503921788;0,952629948574509;-5844,79100039839
"132";-5844,98419065004;-5844,97503921788;-5844,9663201188;0,952757878829539;-5844,79047724495
"133";-5844,97503921788;-5844,9663201188;-5844,95801182021;0,952884983148585;-5844,78997934374
"134";-5844,9663201188;-5844,95801182021;-5844,9500939175;0,953011332428185;-5844,78950517558
"135";-5844,95801182021;-5844,9500939175;-5844,94254707156;0,953136988202152;-5844,78905335159
"136";-5844,9500939175;-5844,94254707156;-5844,93535294991;0,953262025940908;-5844,78862252102
"137";-5844,94254707156;-5844,93535294991;-5844,92849417135;0,95338651431034;-5844,78821144221
"138";-5844,93535294991;-5844,92849417135;-5844,92195425371;0,953510537352714;-5844,78781890299
"139";-5844,92849417135;-5844,92195425371;-5844,91571756486;0,953634159523038;-5844,78744382983
"140";-5844,92195425371;-5844,91571756486;-5844,90976927626;0,953757471457566;-5844,78708513966
"141";-5844,91571756486;-5844,90976927626;-5844,90409531948;0,953880547887533;-5844,78674186543
"142";-5844,90976927626;-5844,90409531948;-5844,898682345;0,954003473076074;-5844,78641307609
"143";-5844,90409531948;-5844,898682345;-5844,89351768348;0,954126339270573;-5844,78609788063
"144";-5844,898682345;-5844,89351768348;-5844,88858930924;0,954249222681109;-5844,78579548658
"145";-5844,89351768348;-5844,88858930924;-5844,88388580576;0,954372222516894;-5844,78550509741
"146";-5844,88858930924;-5844,88388580576;-5844,87939633321;0,954495423795471;-5844,78522600225
"147";-5844,88388580576;-5844,87939633321;-5844,87511059777;0,954618922339295;-5844,78495751277
"148";-5844,87939633321;-5844,87511059777;-5844,87101882264;0,954742816111024;-5844,78469898184
"149";-5844,87511059777;-5844,87101882264;-5844,86711172081;0,954867193116213;-5844,78444982548
"150";-5844,87101882264;-5844,86711172081;-5844,86338046918;0,954992162122145;-5844,78420945753
"151";-5844,86711172081;-5844,86338046918;-5844,85981668427;0,955117818947766;-5844,78397735573
"152";-5844,86338046918;-5844,85981668427;-5844,85641239918;0,955244262768906;-5844,78375302621
"153";-5844,85981668427;-5844,85641239918;-5844,85316004187;0,955371601926784;-5844,78353599215
"154";-5844,85641239918;-5844,85316004187;-5844,85005241467;0,955499939011265;-5844,78332581838
"155";-5844,85316004187;-5844,85005241467;-5844,84708267479;0,955629385857934;-5844,78312208399
"156";-5844,85005241467;-5844,84708267479;-5844,84424431607;0,955760047588882;-5844,78292440673
"157";-5844,84708267479;-5844,84424431607;-5844,84153115159;0,955892027852297;-5844,78273243179
"158";-5844,84424431607;-5844,84153115159;-5844,83893729728;0,956025455675382;-5844,78254579207
"159";-5844,84153115159;-5844,83893729728;-5844,83645715644;0,956160427089826;-5844,78236419045
"160";-5844,83893729728;-5844,83645715644;-5844,83408540502;0,956297069036586;-5844,7821873085
"161";-5844,83645715644;-5844,83408540502;-5844,83181697779;0,956435490969251;-5844,78201487141
"162";-5844,83408540502;-5844,83181697779;-5844,82964705516;0,956575814692091;-5844,78184660732
"163";-5844,83181697779;-5844,82964705516;-5844,82757105079;0,956718156352794;-5844,781682269
"164";-5844,82964705516;-5844,82757105079;-5844,82558459978;0,956862631037769;-5844,78152162644
"165";-5844,82757105079;-5844,82558459978;-5844,82368354752;0,957009383719698;-5844,78136443222
"166";-5844,82558459978;-5844,82368354752;-5844,8218639392;0,957158500131081;-5844,78121051714
"167";-5844,82368354752;-5844,8218639392;-5844,8201220097;0,957310138481521;-5844,78105964899
"168";-5844,8218639392;-5844,8201220097;-5844,81845417421;0,957464404458309;-5844,78091166203
"169";-5844,8201220097;-5844,81845417421;-5844,81685701922;0,957621420709405;-5844,78076638435
"170";-5844,81845417421;-5844,81685701922;-5844,81532729399;0,957781329222213;-5844,78062363711
