"";"lm1";"l0";"l1";"a";"l_stop0";"l_stop"
"113";-5845,25625719234;-5845,25625719234;-5845,23385601301;Inf;NA;-5845,25625719234
"114";-5845,23385601301;-5845,23385601301;-5845,21256868071;Inf;NA;-5845,23385601301
"115";-5845,21256868071;-5845,21256868071;-5845,19233662844;Inf;NA;-5845,21256868071
"116";-5845,19233662844;-5845,19233662844;-5845,17310454815;Inf;NA;-5845,19233662844
"117";-5845,17310454815;-5845,17310454815;-5845,15482019892;Inf;NA;-5845,17310454815
"118";-5845,15482019892;-5845,15482019892;-5845,13743422693;Inf;NA;-5845,15482019892
"119";-5845,13743422693;-5845,13743422693;-5845,12089999664;Inf;NA;-5845,13743422693
"120";-5845,12089999664;-5845,12089999664;-5845,10517343225;Inf;NA;-5845,12089999664
"121";-5845,10517343225;-5845,10517343225;-5845,09021286902;Inf;NA;-5845,10517343225
"122";-5845,09021286902;-5845,09021286902;-5845,07597891356;Inf;NA;-5845,09021286902
"123";-5845,07597891356;-5845,07597891356;-5845,0624343128;Inf;NA;-5845,07597891356
"124";-5845,0624343128;-5845,0624343128;-5845,04954383077;Inf;NA;-5845,0624343128
"125";-5845,04954383077;-5845,04954383077;-5845,03727413301;Inf;NA;-5845,04954383077
"126";-5845,03727413301;-5845,03727413301;-5845,02559367785;Inf;NA;-5845,03727413301
"127";-5845,02559367785;-5845,02559367785;-5845,01447261436;Inf;NA;-5845,02559367785
"128";-5845,01447261436;-5845,01447261436;-5845,00388268637;Inf;NA;-5845,01447261436
"129";-5845,00388268637;-5845,00388268637;-5844,99379714223;Inf;NA;-5845,00388268637
"130";-5844,99379714223;-5844,99379714223;-5844,98419065004;Inf;NA;-5844,99379714223
"131";-5844,98419065004;-5844,98419065004;-5844,97503921788;Inf;NA;-5844,98419065004
"132";-5844,97503921788;-5844,97503921788;-5844,9663201188;Inf;NA;-5844,97503921788
"133";-5844,9663201188;-5844,9663201188;-5844,95801182021;Inf;NA;-5844,9663201188
"134";-5844,95801182021;-5844,95801182021;-5844,9500939175;Inf;NA;-5844,95801182021
"135";-5844,9500939175;-5844,9500939175;-5844,94254707156;Inf;NA;-5844,9500939175
"136";-5844,94254707156;-5844,94254707156;-5844,93535294991;Inf;NA;-5844,94254707156
"137";-5844,93535294991;-5844,93535294991;-5844,92849417135;Inf;NA;-5844,93535294991
"138";-5844,92849417135;-5844,92849417135;-5844,92195425371;Inf;NA;-5844,92849417135
"139";-5844,92195425371;-5844,92195425371;-5844,91571756486;Inf;NA;-5844,92195425371
"140";-5844,91571756486;-5844,91571756486;-5844,90976927626;Inf;NA;-5844,91571756486
"141";-5844,90976927626;-5844,90976927626;-5844,90409531948;Inf;NA;-5844,90976927626
"142";-5844,90409531948;-5844,90409531948;-5844,898682345;Inf;NA;-5844,90409531948
"143";-5844,898682345;-5844,898682345;-5844,89351768348;Inf;NA;-5844,898682345
"144";-5844,89351768348;-5844,89351768348;-5844,88858930924;Inf;NA;-5844,89351768348
"145";-5844,88858930924;-5844,88858930924;-5844,88388580576;Inf;NA;-5844,88858930924
"146";-5844,88388580576;-5844,88388580576;-5844,87939633321;Inf;NA;-5844,88388580576
"147";-5844,87939633321;-5844,87939633321;-5844,87511059777;Inf;NA;-5844,87939633321
"148";-5844,87511059777;-5844,87511059777;-5844,87101882264;Inf;NA;-5844,87511059777
"149";-5844,87101882264;-5844,87101882264;-5844,86711172081;Inf;NA;-5844,87101882264
"150";-5844,86711172081;-5844,86711172081;-5844,86338046918;Inf;NA;-5844,86711172081
"151";-5844,86338046918;-5844,86338046918;-5844,85981668427;Inf;NA;-5844,86338046918
"152";-5844,85981668427;-5844,85981668427;-5844,85641239918;Inf;NA;-5844,85981668427
"153";-5844,85641239918;-5844,85641239918;-5844,85316004187;Inf;NA;-5844,85641239918
"154";-5844,85316004187;-5844,85316004187;-5844,85005241467;Inf;NA;-5844,85316004187
"155";-5844,85005241467;-5844,85005241467;-5844,84708267479;Inf;NA;-5844,85005241467
"156";-5844,84708267479;-5844,84708267479;-5844,84424431607;Inf;NA;-5844,84708267479
"157";-5844,84424431607;-5844,84424431607;-5844,84153115159;Inf;NA;-5844,84424431607
"158";-5844,84153115159;-5844,84153115159;-5844,83893729728;Inf;NA;-5844,84153115159
"159";-5844,83893729728;-5844,83893729728;-5844,83645715644;Inf;NA;-5844,83893729728
"160";-5844,83645715644;-5844,83645715644;-5844,83408540502;Inf;NA;-5844,83645715644
"161";-5844,83408540502;-5844,83408540502;-5844,83181697779;Inf;NA;-5844,83408540502
"162";-5844,83181697779;-5844,83181697779;-5844,82964705516;Inf;NA;-5844,83181697779
"163";-5844,82964705516;-5844,82964705516;-5844,82757105079;Inf;NA;-5844,82964705516
"164";-5844,82757105079;-5844,82757105079;-5844,82558459978;Inf;NA;-5844,82757105079
"165";-5844,82558459978;-5844,82558459978;-5844,82368354752;Inf;NA;-5844,82558459978
"166";-5844,82368354752;-5844,82368354752;-5844,8218639392;Inf;NA;-5844,82368354752
"167";-5844,8218639392;-5844,8218639392;-5844,8201220097;Inf;NA;-5844,8218639392
"168";-5844,8201220097;-5844,8201220097;-5844,81845417421;Inf;NA;-5844,8201220097
"169";-5844,81845417421;-5844,81845417421;-5844,81685701922;Inf;NA;-5844,81845417421
"170";-5844,81685701922;-5844,81685701922;-5844,81532729399;Inf;NA;-5844,81685701922
"171";-5844,81532729399;-5844,81532729399;-5844,81386190251;Inf;NA;-5844,81532729399
"172";-5844,81386190251;-5844,81386190251;-5844,81245789584;Inf;NA;-5844,81386190251
"173";-5844,81245789584;-5844,81245789584;-5844,81111246487;Inf;NA;-5844,81245789584
"174";-5844,81111246487;-5844,81111246487;-5844,80982293344;Inf;NA;-5844,81111246487
"175";-5844,80982293344;-5844,80982293344;-5844,80858675177;Inf;NA;-5844,80982293344
"176";-5844,80858675177;-5844,80858675177;-5844,80740149038;Inf;NA;-5844,80858675177
"177";-5844,80740149038;-5844,80740149038;-5844,80626483409;Inf;NA;-5844,80740149038
"178";-5844,80626483409;-5844,80626483409;-5844,80517457651;Inf;NA;-5844,80626483409
"179";-5844,80517457651;-5844,80517457651;-5844,80412861479;Inf;NA;-5844,80517457651
"180";-5844,80412861479;-5844,80412861479;-5844,80312494451;Inf;NA;-5844,80412861479
"181";-5844,80312494451;-5844,80312494451;-5844,80216165495;Inf;NA;-5844,80312494451
"182";-5844,80216165495;-5844,80216165495;-5844,8012369246;Inf;NA;-5844,80216165495
"183";-5844,8012369246;-5844,8012369246;-5844,80034901678;Inf;NA;-5844,8012369246
"184";-5844,80034901678;-5844,80034901678;-5844,79949627565;Inf;NA;-5844,80034901678
"185";-5844,79949627565;-5844,79949627565;-5844,79867712223;Inf;NA;-5844,79949627565
"186";-5844,79867712223;-5844,79867712223;-5844,79789005081;Inf;NA;-5844,79867712223
"187";-5844,79789005081;-5844,79789005081;-5844,79713362537;Inf;NA;-5844,79789005081
"188";-5844,79713362537;-5844,79713362537;-5844,79640647628;Inf;NA;-5844,79713362537
"189";-5844,79640647628;-5844,79640647628;-5844,79570729715;Inf;NA;-5844,79640647628
"190";-5844,79570729715;-5844,79570729715;-5844,79503484179;Inf;NA;-5844,79570729715
"191";-5844,79503484179;-5844,79503484179;-5844,79438792138;Inf;NA;-5844,79503484179
"192";-5844,79438792138;-5844,79438792138;-5844,79376540172;Inf;NA;-5844,79438792138
"193";-5844,79376540172;-5844,79376540172;-5844,79316620069;Inf;NA;-5844,79376540172
"194";-5844,79316620069;-5844,79316620069;-5844,79258928572;Inf;NA;-5844,79316620069
"195";-5844,79258928572;-5844,79258928572;-5844,79203367152;Inf;NA;-5844,79258928572
"196";-5844,79203367152;-5844,79203367152;-5844,79149841781;Inf;NA;-5844,79203367152
"197";-5844,79149841781;-5844,79149841781;-5844,79098262724;Inf;NA;-5844,79149841781
"198";-5844,79098262724;-5844,79098262724;-5844,7904854433;Inf;NA;-5844,79098262724
"199";-5844,7904854433;-5844,7904854433;-5844,79000604853;Inf;NA;-5844,7904854433
"200";-5844,79000604853;-5844,79000604853;-5844,78954366256;Inf;NA;-5844,79000604853
"201";-5844,78954366256;-5844,78954366256;-5844,78909754047;Inf;NA;-5844,78954366256
"202";-5844,78909754047;-5844,78909754047;-5844,78866697108;Inf;NA;-5844,78909754047
"203";-5844,78866697108;-5844,78866697108;-5844,78825127541;Inf;NA;-5844,78866697108
"204";-5844,78825127541;-5844,78825127541;-5844,78784980516;Inf;NA;-5844,78825127541
"205";-5844,78784980516;-5844,78784980516;-5844,78746194131;Inf;NA;-5844,78784980516
"206";-5844,78746194131;-5844,78746194131;-5844,78708709273;Inf;NA;-5844,78746194131
"207";-5844,78708709273;-5844,78708709273;-5844,78672469492;Inf;NA;-5844,78708709273
"208";-5844,78672469492;-5844,78672469492;-5844,78637420873;Inf;NA;-5844,78672469492
"209";-5844,78637420873;-5844,78637420873;-5844,78603511925;Inf;NA;-5844,78637420873
"210";-5844,78603511925;-5844,78603511925;-5844,78570693465;Inf;NA;-5844,78603511925
"211";-5844,78570693465;-5844,78570693465;-5844,78538918512;Inf;NA;-5844,78570693465
"212";-5844,78538918512;-5844,78538918512;-5844,78508142186;Inf;NA;-5844,78538918512
"213";-5844,78508142186;-5844,78508142186;-5844,78478321611;Inf;NA;-5844,78508142186
"214";-5844,78478321611;-5844,78478321611;-5844,78449415825;Inf;NA;-5844,78478321611
"215";-5844,78449415825;-5844,78449415825;-5844,7842138569;Inf;NA;-5844,78449415825
"216";-5844,7842138569;-5844,7842138569;-5844,7839419381;Inf;NA;-5844,7842138569
"217";-5844,7839419381;-5844,7839419381;-5844,78367804448;Inf;NA;-5844,7839419381
"218";-5844,78367804448;-5844,78367804448;-5844,78342183453;Inf;NA;-5844,78367804448
"219";-5844,78342183453;-5844,78342183453;-5844,78317298191;Inf;NA;-5844,78342183453
"220";-5844,78317298191;-5844,78317298191;-5844,78293117466;Inf;NA;-5844,78317298191
"221";-5844,78293117466;-5844,78293117466;-5844,78269611466;Inf;NA;-5844,78293117466
"222";-5844,78269611466;-5844,78269611466;-5844,7824675169;Inf;NA;-5844,78269611466
"223";-5844,7824675169;-5844,7824675169;-5844,78224510896;Inf;NA;-5844,7824675169
"224";-5844,78224510896;-5844,78224510896;-5844,7820286304;Inf;NA;-5844,78224510896
"225";-5844,7820286304;-5844,7820286304;-5844,78181783221;Inf;NA;-5844,7820286304
"226";-5844,78181783221;-5844,78181783221;-5844,78161247633;Inf;NA;-5844,78181783221
"227";-5844,78161247633;-5844,78161247633;-5844,78141233511;Inf;NA;-5844,78161247633
"228";-5844,78141233511;-5844,78141233511;-5844,78121719089;Inf;NA;-5844,78141233511
"229";-5844,78121719089;-5844,78121719089;-5844,78102683549;Inf;NA;-5844,78121719089
